Key.ctrl_l 	 at 13:54:16
Key.ctrl_l 	 at 13:54:16
Key.ctrl_l 	 at 13:54:17
'\x06' 	 at 13:54:18
Key.ctrl_l 	 at 13:54:20
Key.ctrl_l 	 at 13:54:21
'\x06' 	 at 13:54:21
'\x06' 	 at 13:54:21
'\x06' 	 at 13:54:22
'\x06' 	 at 13:54:22
'\x06' 	 at 13:54:22
'\x06' 	 at 13:54:23
'\x06' 	 at 13:54:23
'\x06' 	 at 13:54:23
Key.alt_l 	 at 13:54:25
Key.tab 	 at 13:54:25
Key.alt_l 	 at 13:54:26
Key.tab 	 at 13:54:26
Key.tab 	 at 13:54:27
'å' 	 at 13:54:43
'ð' 	 at 13:54:44
'ô' 	 at 13:54:44
'å' 	 at 13:54:44
Key.space 	 at 13:54:44
'ø' 	 at 13:54:44
'û' 	 at 13:54:44
Key.space 	 at 13:54:44
'ô' 	 at 13:54:45
Key.space 	 at 13:54:45
'û' 	 at 13:54:46
'å' 	 at 13:54:46
'ã' 	 at 13:54:46
'â' 	 at 13:54:46
'ó' 	 at 13:54:46
'ò' 	 at 13:54:47
'å' 	 at 13:54:47
Key.space 	 at 13:54:47
'ç' 	 at 13:54:47
'ê' 	 at 13:54:47
'ù' 	 at 13:54:48
'î' 	 at 13:54:48
'ó' 	 at 13:54:48
'ñ' 	 at 13:54:48
'å' 	 at 13:54:49
Key.space 	 at 13:54:49
'ô' 	 at 13:54:49
'ò' 	 at 13:54:49
'â' 	 at 13:54:49
Key.space 	 at 13:54:50
'ø' 	 at 13:54:50
'å' 	 at 13:54:50
Key.space 	 at 13:54:50
'ö' 	 at 13:54:51
'ù' 	 at 13:54:51
'ò' 	 at 13:54:51
'ý' 	 at 13:54:52
'å' 	 at 13:54:52
Key.space 	 at 13:54:52
'è' 	 at 13:54:53
'ó' 	 at 13:54:53
Key.space 	 at 13:54:53
'ã' 	 at 13:54:54
'û' 	 at 13:54:54
'ó' 	 at 13:54:54
'â' 	 at 13:54:54
Key.space 	 at 13:54:54
'ø' 	 at 13:54:56
'ò' 	 at 13:54:56
Key.space 	 at 13:54:56
'ô' 	 at 13:54:56
'ò' 	 at 13:54:56
'í' 	 at 13:54:57
Key.space 	 at 13:54:57
'ù' 	 at 13:54:57
'å' 	 at 13:54:58
'ð' 	 at 13:54:58
'ó' 	 at 13:54:58
'ê' 	 at 13:54:58
Key.space 	 at 13:54:58
'ö' 	 at 13:54:59
'ô' 	 at 13:54:59
'í' 	 at 13:54:59
'û' 	 at 13:55:00
Key.space 	 at 13:55:00
'-' 	 at 13:55:00
Key.space 	 at 13:55:00
'î' 	 at 13:55:03
'ã' 	 at 13:55:03
'û' 	 at 13:55:03
'å' 	 at 13:55:04
Key.space 	 at 13:55:04
'å' 	 at 13:55:05
'ù' 	 at 13:55:05
Key.space 	 at 13:55:05
'û' 	 at 13:55:05
'ð' 	 at 13:55:05
'ù' 	 at 13:55:05
'ö' 	 at 13:55:06
Key.space 	 at 13:55:06
'å' 	 at 13:55:07
'ù' 	 at 13:55:07
Key.space 	 at 13:55:07
'å' 	 at 13:55:08
'ð' 	 at 13:55:09
'ó' 	 at 13:55:09
Key.space 	 at 13:55:09
'å' 	 at 13:55:09
'ó' 	 at 13:55:09
'ô' 	 at 13:55:09
'ñ' 	 at 13:55:10
'ð' 	 at 13:55:10
'ó' 	 at 13:55:10
'ê' 	 at 13:55:11
Key.enter 	 at 13:55:11
'ò' 	 at 13:55:38
'ù' 	 at 13:55:38
Key.space 	 at 13:55:39
'ù' 	 at 13:55:39
'ò' 	 at 13:55:39
'ó' 	 at 13:55:39
Key.space 	 at 13:55:39
'ó' 	 at 13:55:40
'÷' 	 at 13:55:40
'ñ' 	 at 13:55:40
'ó' 	 at 13:55:41
'ç' 	 at 13:55:42
'å' 	 at 13:55:42
Key.space 	 at 13:55:42
'ü' 	 at 13:55:43
'ó' 	 at 13:55:43
Key.space 	 at 13:55:43
'ö' 	 at 13:55:44
'ø' 	 at 13:55:44
'ä' 	 at 13:55:44
'ä' 	 at 13:55:44
Key.space 	 at 13:55:44
'ã' 	 at 13:55:45
'û' 	 at 13:55:45
'ó' 	 at 13:55:45
Key.space 	 at 13:55:46
'ø' 	 at 13:55:47
'å' 	 at 13:55:47
Key.enter 	 at 13:55:54
'ë' 	 at 13:56:19
'ó' 	 at 13:56:19
'í' 	 at 13:56:20
'ä' 	 at 13:56:20
Key.down 	 at 13:56:21
Key.space 	 at 13:56:21
Key.down 	 at 13:56:22
Key.space 	 at 13:56:22
'û' 	 at 13:56:25
'ç' 	 at 13:56:25
'ó' 	 at 13:56:25
'ñ' 	 at 13:56:26
'ø' 	 at 13:56:26
'û' 	 at 13:56:26
Key.backspace 	 at 13:56:26
'ô' 	 at 13:56:26
'æ' 	 at 13:56:27
Key.space 	 at 13:56:27
'ñ' 	 at 13:56:28
Key.down 	 at 13:56:29
Key.enter 	 at 13:56:29
'å' 	 at 13:56:39
'ð' 	 at 13:56:39
'ô' 	 at 13:56:39
'å' 	 at 13:56:39
Key.space 	 at 13:56:39
'ø' 	 at 13:56:40
'ò' 	 at 13:56:40
'à' 	 at 13:56:40
'ù' 	 at 13:56:41
Key.space 	 at 13:56:41
'ø' 	 at 13:56:41
'û' 	 at 13:56:41
Key.space 	 at 13:56:41
'ò' 	 at 13:56:42
'ù' 	 at 13:56:42
'å' 	 at 13:56:42
Key.space 	 at 13:56:42
'ø' 	 at 13:56:42
'ä' 	 at 13:56:43
'ä' 	 at 13:56:43
'ø' 	 at 13:56:43
'ï' 	 at 13:56:43
'ô' 	 at 13:56:43
'ä' 	 at 13:56:43
'á' 	 at 13:56:44
Key.space 	 at 13:56:44
'ø' 	 at 13:56:45
'å' 	 at 13:56:45
Key.space 	 at 13:56:46
'ø' 	 at 13:56:46
'û' 	 at 13:56:46
Key.space 	 at 13:56:46
'ø' 	 at 13:56:46
'ò' 	 at 13:56:47
Key.space 	 at 13:56:47
'ù' 	 at 13:56:47
'ç' 	 at 13:56:47
'ó' 	 at 13:56:48
'ò' 	 at 13:56:48
Key.space 	 at 13:56:48
'û' 	 at 13:56:48
'ù' 	 at 13:56:49
'ã' 	 at 13:56:49
'ê' 	 at 13:56:49
'ñ' 	 at 13:56:49
'ó' 	 at 13:56:49
'û' 	 at 13:56:50
Key.enter 	 at 13:56:51
'ë' 	 at 13:57:10
'ó' 	 at 13:57:10
'í' 	 at 13:57:10
'ä' 	 at 13:57:11
'ù' 	 at 13:57:11
'ï' 	 at 13:57:11
'ï' 	 at 13:57:11
'ó' 	 at 13:57:11
'ê' 	 at 13:57:11
'û' 	 at 13:57:12
Key.space 	 at 13:57:12
'ô' 	 at 13:57:12
'ê' 	 at 13:57:12
'ó' 	 at 13:57:12
'ý' 	 at 13:57:13
'ò' 	 at 13:57:13
Key.backspace 	 at 13:57:14
Key.backspace 	 at 13:57:14
Key.space 	 at 13:57:15
'ä' 	 at 13:57:15
'ó' 	 at 13:57:16
'ï' 	 at 13:57:16
'ô' 	 at 13:57:16
'ä' 	 at 13:57:16
'á' 	 at 13:57:17
Key.space 	 at 13:57:17
'å' 	 at 13:57:17
'ð' 	 at 13:57:17
'ó' 	 at 13:57:18
'ø' 	 at 13:57:18
'ê' 	 at 13:57:18
Key.space 	 at 13:57:18
'ã' 	 at 13:57:19
'û' 	 at 13:57:19
'ô' 	 at 13:57:20
'ï' 	 at 13:57:20
'ó' 	 at 13:57:20
Key.space 	 at 13:57:20
'ø' 	 at 13:57:21
'û' 	 at 13:57:21
